CALENDAR_YEAR,LOCATION_ID,GROUPING,SUB,EXPERIENCING_HOMELESSNESS_CNT
OCT 2023 to SEP 2024,All,"American Indian, Alaska Native, or Indigenous",Race Alone,4304
OCT 2023 to SEP 2024,All,"American Indian, Alaska Native, or Indigenous",Race Combination,10197
OCT 2023 to SEP 2024,All,Asian or Asian American,Race Alone,6011
OCT 2023 to SEP 2024,All,Asian or Asian American,Race Combination,2604
OCT 2023 to SEP 2024,All,"Black, African American, or African",Race Alone,85364
OCT 2023 to SEP 2024,All,"Black, African American, or African",Race Combination,12274
OCT 2023 to SEP 2024,All,Hispanic/Latina/e/o,Race Alone,50259
OCT 2023 to SEP 2024,All,Hispanic/Latina/e/o,Race Combination,77545
OCT 2023 to SEP 2024,All,Native Hawaiian or Pacific Islander,Race Alone,3149
OCT 2023 to SEP 2024,All,Native Hawaiian or Pacific Islander,Race Combination,2940
OCT 2023 to SEP 2024,All,White,Race Alone,90328
OCT 2023 to SEP 2024,All,White,Race Combination,72619
OCT 2023 to SEP 2024,All,Middle Eastern or North African,Race Alone,1291
OCT 2023 to SEP 2024,All,Middle Eastern or North African,Race Combination,313
OCT 2023 to SEP 2024,CA-500,"American Indian, Alaska Native, or Indigenous",Race Alone,227
OCT 2023 to SEP 2024,CA-500,"American Indian, Alaska Native, or Indigenous",Race Combination,1128
OCT 2023 to SEP 2024,CA-500,Asian or Asian American,Race Alone,704
OCT 2023 to SEP 2024,CA-500,Asian or Asian American,Race Combination,214
OCT 2023 to SEP 2024,CA-500,"Black, African American, or African",Race Alone,1883
OCT 2023 to SEP 2024,CA-500,"Black, African American, or African",Race Combination,584
OCT 2023 to SEP 2024,CA-500,Hispanic/Latina/e/o,Race Alone,2484
OCT 2023 to SEP 2024,CA-500,Hispanic/Latina/e/o,Race Combination,6461
OCT 2023 to SEP 2024,CA-500,Native Hawaiian or Pacific Islander,Race Alone,249
OCT 2023 to SEP 2024,CA-500,Native Hawaiian or Pacific Islander,Race Combination,244
OCT 2023 to SEP 2024,CA-500,White,Race Alone,2841
OCT 2023 to SEP 2024,CA-500,White,Race Combination,5621
OCT 2023 to SEP 2024,CA-500,Middle Eastern or North African,Race Alone,123
OCT 2023 to SEP 2024,CA-500,Middle Eastern or North African,Race Combination,14
OCT 2023 to SEP 2024,CA-501,"American Indian, Alaska Native, or Indigenous",Race Alone,299
OCT 2023 to SEP 2024,CA-501,"American Indian, Alaska Native, or Indigenous",Race Combination,1132
OCT 2023 to SEP 2024,CA-501,Asian or Asian American,Race Alone,785
OCT 2023 to SEP 2024,CA-501,Asian or Asian American,Race Combination,330
OCT 2023 to SEP 2024,CA-501,"Black, African American, or African",Race Alone,7264
OCT 2023 to SEP 2024,CA-501,"Black, African American, or African",Race Combination,1214
OCT 2023 to SEP 2024,CA-501,Hispanic/Latina/e/o,Race Alone,3636
OCT 2023 to SEP 2024,CA-501,Hispanic/Latina/e/o,Race Combination,3667
OCT 2023 to SEP 2024,CA-501,Native Hawaiian or Pacific Islander,Race Alone,387
OCT 2023 to SEP 2024,CA-501,Native Hawaiian or Pacific Islander,Race Combination,343
OCT 2023 to SEP 2024,CA-501,White,Race Alone,4545
OCT 2023 to SEP 2024,CA-501,White,Race Combination,2947
OCT 2023 to SEP 2024,CA-501,Middle Eastern or North African,Race Alone,148
OCT 2023 to SEP 2024,CA-501,Middle Eastern or North African,Race Combination,40
OCT 2023 to SEP 2024,CA-502,"American Indian, Alaska Native, or Indigenous",Race Alone,205
OCT 2023 to SEP 2024,CA-502,"American Indian, Alaska Native, or Indigenous",Race Combination,609
OCT 2023 to SEP 2024,CA-502,Asian or Asian American,Race Alone,364
OCT 2023 to SEP 2024,CA-502,Asian or Asian American,Race Combination,154
OCT 2023 to SEP 2024,CA-502,"Black, African American, or African",Race Alone,7186
OCT 2023 to SEP 2024,CA-502,"Black, African American, or African",Race Combination,887
OCT 2023 to SEP 2024,CA-502,Hispanic/Latina/e/o,Race Alone,1127
OCT 2023 to SEP 2024,CA-502,Hispanic/Latina/e/o,Race Combination,1862
OCT 2023 to SEP 2024,CA-502,Native Hawaiian or Pacific Islander,Race Alone,207
OCT 2023 to SEP 2024,CA-502,Native Hawaiian or Pacific Islander,Race Combination,245
OCT 2023 to SEP 2024,CA-502,White,Race Alone,2447
OCT 2023 to SEP 2024,CA-502,White,Race Combination,1534
OCT 2023 to SEP 2024,CA-502,Middle Eastern or North African,Race Alone,58
OCT 2023 to SEP 2024,CA-502,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-503,"American Indian, Alaska Native, or Indigenous",Race Alone,198
OCT 2023 to SEP 2024,CA-503,"American Indian, Alaska Native, or Indigenous",Race Combination,526
OCT 2023 to SEP 2024,CA-503,Asian or Asian American,Race Alone,215
OCT 2023 to SEP 2024,CA-503,Asian or Asian American,Race Combination,161
OCT 2023 to SEP 2024,CA-503,"Black, African American, or African",Race Alone,5817
OCT 2023 to SEP 2024,CA-503,"Black, African American, or African",Race Combination,1210
OCT 2023 to SEP 2024,CA-503,Hispanic/Latina/e/o,Race Alone,734
OCT 2023 to SEP 2024,CA-503,Hispanic/Latina/e/o,Race Combination,1944
OCT 2023 to SEP 2024,CA-503,Native Hawaiian or Pacific Islander,Race Alone,194
OCT 2023 to SEP 2024,CA-503,Native Hawaiian or Pacific Islander,Race Combination,131
OCT 2023 to SEP 2024,CA-503,White,Race Alone,3715
OCT 2023 to SEP 2024,CA-503,White,Race Combination,1986
OCT 2023 to SEP 2024,CA-503,Middle Eastern or North African,Race Alone,36
OCT 2023 to SEP 2024,CA-503,Middle Eastern or North African,Race Combination,12
OCT 2023 to SEP 2024,CA-504,"American Indian, Alaska Native, or Indigenous",Race Alone,129
OCT 2023 to SEP 2024,CA-504,"American Indian, Alaska Native, or Indigenous",Race Combination,322
OCT 2023 to SEP 2024,CA-504,Asian or Asian American,Race Alone,27
OCT 2023 to SEP 2024,CA-504,Asian or Asian American,Race Combination,15
OCT 2023 to SEP 2024,CA-504,"Black, African American, or African",Race Alone,272
OCT 2023 to SEP 2024,CA-504,"Black, African American, or African",Race Combination,139
