County,Base,2020,2021,2022,2023,2024
Alameda,1682296,1680614,1643856,1635693,1638142,1649060
Alpine,1176,1179,1203,1169,1126,1099
Amador,40497,40584,41245,41486,41798,42026
Butte,211632,210222,206351,207384,207354,208334
Calaveras,45284,45350,46262,46544,46580,46505
Colusa,21837,21868,21931,21952,22093,22074
Contra Costa,1165983,1166165,1163813,1160296,1162179,1172607
Del Norte,27742,27616,27581,26758,26571,27009
El Dorado,191185,191250,193724,193071,192440,192823
Fresno,1008649,1009613,1012879,1017107,1019899,1024125
Glenn,28919,28889,28714,28371,28190,28304
Humboldt,136467,136324,134978,135013,134009,132380
Imperial,179710,179730,179206,179767,180585,181724
Inyo,19024,18999,18920,18745,18548,18485
Kern,909233,906124,912782,917293,916646,922529
Kings,152484,152797,152724,152776,153281,154913
Lake,68164,68200,68623,68239,67934,67764
Lassen,32733,32319,31884,30401,28838,28340
Los Angeles,10017401,9996634,9809239,9748447,9731837,9757179
Madera,156254,156434,159019,160414,163402,165432
Marin,262325,261341,259254,257143,255706,256400
Mariposa,17128,17133,17136,17095,16996,17048
Mendocino,91587,91362,91303,90027,89354,89175
Merced,282447,282963,284834,292034,294402,296774
Modoc,8699,8677,8640,8625,8566,8491
Mono,13196,13225,13263,13055,13207,12991
Monterey,441012,440506,439245,436427,435637,436251
Napa,138014,137465,136219,134492,133444,132727
Nevada,102236,102267,103499,102356,102086,102195
Orange,3187256,3186261,3159351,3158489,3154563,3170435
Placer,404752,405951,412968,418439,424599,433822
Plumas,19800,19761,19965,19433,19120,18834
Riverside,2419967,2424663,2455225,2479628,2503549,2529933
Sacramento,1585030,1586727,1588824,1588743,1594506,1611231
San Benito,64209,64533,66703,67715,68341,69159
San Bernardino,2181664,2183526,2190877,2196029,2200805,2214281
San Diego,3298647,3301182,3274244,3283755,3285890,3298799
San Francisco,878392,874826,815498,814176,819151,827526
San Joaquin,779232,780676,788096,795880,805909,816108
San Luis Obispo,282448,281924,279468,282535,282007,281843
San Mateo,764659,762727,739330,732485,734267,742893
Santa Barbara,448217,448083,437117,445286,443521,444500
Santa Clara,1936278,1924802,1878320,1883653,1897137,1926325
Santa Cruz,272140,271768,260904,265851,263699,262406
Shasta,182452,182190,182243,180972,180656,181121
Sierra,3235,3229,3298,3215,3180,3113
Siskiyou,44079,43999,44144,43746,42941,42498
Solano,453551,452887,450819,449724,451060,455101
Sonoma,488862,488501,484561,483398,483366,485375
Stanislaus,553285,553710,552939,552410,553921,556972
Sutter,99635,99479,99121,98682,98457,98545
Tehama,65905,65690,65467,65269,64959,64451
Trinity,16116,16095,16102,15777,15684,15642
Tulare,473121,473944,476939,478288,480747,483546
Tuolumne,55623,55397,55126,53951,54123,53893
Ventura,844363,843808,840009,835032,833071,835427
Yolo,217867,217768,213545,223338,222919,225251
Yuba,81575,82001,83035,84335,85695,87469
