LOCATION,NEIGHBORS
Santa Clara County CoC,"['Santa Cruz County CoC', 'San Mateo County CoC', 'Alameda County CoC', 'Stanislaus County CoC', 'Merced County CoC', 'Monterey, San Benito Counties CoC']"
Santa Clara County CoC,"['Santa Cruz County CoC', 'San Mateo County CoC', 'Alameda County CoC', 'Stanislaus County CoC', 'Merced County CoC', 'Monterey, San Benito Counties CoC']"
Santa Clara County CoC,"['Santa Cruz County CoC', 'San Mateo County CoC', 'Alameda County CoC', 'Stanislaus County CoC', 'Merced County CoC', 'Monterey, San Benito Counties CoC']"
Santa Clara County CoC,"['Santa Cruz County CoC', 'San Mateo County CoC', 'Alameda County CoC', 'Stanislaus County CoC', 'Merced County CoC', 'Monterey, San Benito Counties CoC']"
Santa Clara County CoC,"['Santa Cruz County CoC', 'San Mateo County CoC', 'Alameda County CoC', 'Stanislaus County CoC', 'Merced County CoC', 'Monterey, San Benito Counties CoC']"
Santa Clara County CoC,"['Santa Cruz County CoC', 'San Mateo County CoC', 'Alameda County CoC', 'Stanislaus County CoC', 'Merced County CoC', 'Monterey, San Benito Counties CoC']"
Santa Clara County CoC,"['Santa Cruz County CoC', 'San Mateo County CoC', 'Alameda County CoC', 'Stanislaus County CoC', 'Merced County CoC', 'Monterey, San Benito Counties CoC']"
Santa Clara County CoC,"['Santa Cruz County CoC', 'San Mateo County CoC', 'Alameda County CoC', 'Stanislaus County CoC', 'Merced County CoC', 'Monterey, San Benito Counties CoC']"
San Francisco CoC,"['Marin County CoC', 'Alameda County CoC', 'San Mateo County CoC']"
San Francisco CoC,"['Marin County CoC', 'Alameda County CoC', 'San Mateo County CoC']"
San Francisco CoC,"['Marin County CoC', 'Alameda County CoC', 'San Mateo County CoC']"
San Francisco CoC,"['Marin County CoC', 'Alameda County CoC', 'San Mateo County CoC']"
San Francisco CoC,"['Marin County CoC', 'Alameda County CoC', 'San Mateo County CoC']"
San Francisco CoC,"['Marin County CoC', 'Alameda County CoC', 'San Mateo County CoC']"
San Francisco CoC,"['Marin County CoC', 'Alameda County CoC', 'San Mateo County CoC']"
San Francisco CoC,"['Marin County CoC', 'Alameda County CoC', 'San Mateo County CoC']"
Alameda County CoC,"['San Francisco CoC', 'San Mateo County CoC', 'Contra Costa County CoC', 'San Joaquin County CoC', 'Santa Clara County CoC']"
Alameda County CoC,"['San Francisco CoC', 'San Mateo County CoC', 'Contra Costa County CoC', 'San Joaquin County CoC', 'Santa Clara County CoC']"
Alameda County CoC,"['San Francisco CoC', 'San Mateo County CoC', 'Contra Costa County CoC', 'San Joaquin County CoC', 'Santa Clara County CoC']"
Alameda County CoC,"['San Francisco CoC', 'San Mateo County CoC', 'Contra Costa County CoC', 'San Joaquin County CoC', 'Santa Clara County CoC']"
Alameda County CoC,"['San Francisco CoC', 'San Mateo County CoC', 'Contra Costa County CoC', 'San Joaquin County CoC', 'Santa Clara County CoC']"
Alameda County CoC,"['San Francisco CoC', 'San Mateo County CoC', 'Contra Costa County CoC', 'San Joaquin County CoC', 'Santa Clara County CoC']"
Alameda County CoC,"['San Francisco CoC', 'San Mateo County CoC', 'Contra Costa County CoC', 'San Joaquin County CoC', 'Santa Clara County CoC']"
Sacramento County CoC,"['Yolo County CoC', 'Yuba, Sutter Counties CoC', 'Placer County CoC', 'El Dorado County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'San Joaquin County CoC', 'Contra Costa County CoC', 'Solano County CoC']"
Sacramento County CoC,"['Yolo County CoC', 'Yuba, Sutter Counties CoC', 'Placer County CoC', 'El Dorado County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'San Joaquin County CoC', 'Contra Costa County CoC', 'Solano County CoC']"
Sacramento County CoC,"['Yolo County CoC', 'Yuba, Sutter Counties CoC', 'Placer County CoC', 'El Dorado County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'San Joaquin County CoC', 'Contra Costa County CoC', 'Solano County CoC']"
Sacramento County CoC,"['Yolo County CoC', 'Yuba, Sutter Counties CoC', 'Placer County CoC', 'El Dorado County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'San Joaquin County CoC', 'Contra Costa County CoC', 'Solano County CoC']"
Sacramento County CoC,"['Yolo County CoC', 'Yuba, Sutter Counties CoC', 'Placer County CoC', 'El Dorado County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'San Joaquin County CoC', 'Contra Costa County CoC', 'Solano County CoC']"
Sacramento County CoC,"['Yolo County CoC', 'Yuba, Sutter Counties CoC', 'Placer County CoC', 'El Dorado County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'San Joaquin County CoC', 'Contra Costa County CoC', 'Solano County CoC']"
Sacramento County CoC,"['Yolo County CoC', 'Yuba, Sutter Counties CoC', 'Placer County CoC', 'El Dorado County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'San Joaquin County CoC', 'Contra Costa County CoC', 'Solano County CoC']"
Sacramento County CoC,"['Yolo County CoC', 'Yuba, Sutter Counties CoC', 'Placer County CoC', 'El Dorado County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'San Joaquin County CoC', 'Contra Costa County CoC', 'Solano County CoC']"
Sonoma County CoC,"['Mendocino County CoC', 'Lake County CoC', 'Napa County CoC', 'Marin County CoC']"
Sonoma County CoC,"['Mendocino County CoC', 'Lake County CoC', 'Napa County CoC', 'Marin County CoC']"
Sonoma County CoC,"['Mendocino County CoC', 'Lake County CoC', 'Napa County CoC', 'Marin County CoC']"
Sonoma County CoC,"['Mendocino County CoC', 'Lake County CoC', 'Napa County CoC', 'Marin County CoC']"
Sonoma County CoC,"['Mendocino County CoC', 'Lake County CoC', 'Napa County CoC', 'Marin County CoC']"
Sonoma County CoC,"['Mendocino County CoC', 'Lake County CoC', 'Napa County CoC', 'Marin County CoC']"
Sonoma County CoC,"['Mendocino County CoC', 'Lake County CoC', 'Napa County CoC', 'Marin County CoC']"
Contra Costa County CoC,"['Marin County CoC', 'Solano County CoC', 'Sacramento County CoC', 'San Joaquin County CoC', 'Alameda County CoC']"
Contra Costa County CoC,"['Marin County CoC', 'Solano County CoC', 'Sacramento County CoC', 'San Joaquin County CoC', 'Alameda County CoC']"
Contra Costa County CoC,"['Marin County CoC', 'Solano County CoC', 'Sacramento County CoC', 'San Joaquin County CoC', 'Alameda County CoC']"
Contra Costa County CoC,"['Marin County CoC', 'Solano County CoC', 'Sacramento County CoC', 'San Joaquin County CoC', 'Alameda County CoC']"
Contra Costa County CoC,"['Marin County CoC', 'Solano County CoC', 'Sacramento County CoC', 'San Joaquin County CoC', 'Alameda County CoC']"
Contra Costa County CoC,"['Marin County CoC', 'Solano County CoC', 'Sacramento County CoC', 'San Joaquin County CoC', 'Alameda County CoC']"
Contra Costa County CoC,"['Marin County CoC', 'Solano County CoC', 'Sacramento County CoC', 'San Joaquin County CoC', 'Alameda County CoC']"
"Monterey, San Benito Counties CoC","['Santa Cruz County CoC', 'Santa Clara County CoC', 'Merced County CoC', 'Fresno, Madera Counties CoC', 'Kings, Tulare Counties CoC', 'San Luis Obispo County CoC']"
"Monterey, San Benito Counties CoC","['Santa Cruz County CoC', 'Santa Clara County CoC', 'Merced County CoC', 'Fresno, Madera Counties CoC', 'Kings, Tulare Counties CoC', 'San Luis Obispo County CoC']"
"Monterey, San Benito Counties CoC","['Santa Cruz County CoC', 'Santa Clara County CoC', 'Merced County CoC', 'Fresno, Madera Counties CoC', 'Kings, Tulare Counties CoC', 'San Luis Obispo County CoC']"
